cn,pr,pf,link,inst,plink,rating,tags
The Complete 2023 Web Development,3399,Udemy,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Dr. Angela Yu,https://img-c.udemycdn.com/course/240x135/1565838_e54e_16.jpg,4.7,Development
Strivers A2Z DSA course,0,Youtube,https://www.youtube.com/watch?v=EAR7De6Goz4&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz,take U forward,https://img.youtube.com/vi/EAR7De6Goz4/maxresdefault.jpg,0,Data Structure and Algorithm
Introduction to Blockchain for Financial Services,0,Coursera,https://www.coursera.org/learn/intro-blockchain-financial-services,INSEAD,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d2/9c1ab69b7247bfa649411506111928/course1_thumbnail_fs_2022.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.7,Blockchain Technology
DBMS (Database Management System),0,Youtube,https://www.youtube.com/playlist?list=PLdo5W4Nhv31b33kF46f9aFjoJPOkdlsRc,Jenny's Lectures CS IT,https://img.youtube.com/vi/T7AxM7Vqvaw/sddefault.jpg,0,DBMS
Java complete course,0,Youtube,https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop,apna college,https://img.youtube.com/vi/yRpLlJmRo2w/maxresdefault.jpg,0,Data Structure and Algorithm
Complete C# Unity Game Developer,3399,Udemy,https://www.udemy.com/course/unitycourse2/,Ben Tristem Rick Davidson GameDev.tv Team Gary Pettie,https://img-c.udemycdn.com/course/240x135/1178124_76bb_11.jpg,4.7,Development
Arduino For Beginners - 2023,3199,Udemy,https://www.udemy.com/course/arduino-for-beginners-complete-course/,Edouard Renard,https://img-c.udemycdn.com/course/240x135/3842862_84f0_4.jpg,4.5,Robotics
Data Structures and Program Methodology,0,NPTEL,https://nptel.ac.in/courses/106103069,Dr. S.V. Rao,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/IIT_Guwahati_Logo.svg/1200px-IIT_Guwahati_Logo.svg.png,0,Data Structure and Algorithm
DSA to Development: A Complete Guide,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/dsa-to-development-coding-guide,,https://media.geeksforgeeks.org/img-practice/banner/dsa-to-development-coding-guide-thumbnail.png?v=19545,0,Development
Angular - The Complete Guide,3399,Udemy,https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/756150_c033_2.jpg,4.6,Development
Blockchain Basics,0,Coursera,https://www.coursera.org/learn/blockchain-basics,University at Buffalo,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a8/d79e8065b111e895dda313fb57c8e8/Course1_white.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,Blockchain Technology
Master JavaScript - Complete Beginner to Advanced,1999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/javascript,Prakash Narsingrao Sakari,https://media.geeksforgeeks.org/img-practice/banner/javascript-thumbnail.png?v=19550,4.3,Miscellaneous
Basics of Java with Data StructuresandAlgorithms,20998,CodingNinjas,https://www.codingninjas.com/courses/java-data-structures-and-algorithms?pageGroup=0,-,https://files.codingninjas.com/cdn-cgi/image/width=434/java-10822.png,4.8,Data Structure and Algorithm
Data Structures And Algorithms,0,NPTEL,https://nptel.ac.in/courses/106102064,Prof. Naveen Garg,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Indian_Institute_of_Technology_Delhi_Logo.svg/1200px-Indian_Institute_of_Technology_Delhi_Logo.svg.png,0,Data Structure and Algorithm
RoboGrok Robotics 1 *Grok -,2599,Udemy,https://www.udemy.com/course/robotics-1/,Angela Sodemann,https://img-b.udemycdn.com/course/240x135/1735138_dec5.jpg,5,Robotics
Java For Everyone - Zero,2599,Udemy,https://www.udemy.com/course/java-for-everyone-zero-to-hero/,Chandan Kumar,https://img-c.udemycdn.com/course/240x135/2644918_2be0_4.jpg,3.9,OOPS
Data Structures and Algorithms in,0,Udemy,https://www.udemy.com/course/data-structures-and-algorithms-in-c-for-beginners/,Sujithkumar MA,https://img-c.udemycdn.com/course/240x135/3599126_a285.jpg,4.2,Data Structure and Algorithm
Apache Kafka Series - Learn,3199,Udemy,https://www.udemy.com/course/apache-kafka/,Stephane Maarek | AWS Certified Cloud PractitionerSolutions ArchitectDeveloper Conduktor Kafkademy,https://img-c.udemycdn.com/course/240x135/1075642_b6d2_10.jpg,4.7,Development
Design and Analysis of Algorithms,0,Udemy,https://www.udemy.com/course/design-and-analysis-of-algorithms/,shravan Kumar Manthri,https://img-b.udemycdn.com/course/240x135/2619556_7863_2.jpg,4.4,Data Structure and Algorithm
Competitive Programming/DSA course | Hindi,0,Youtube,https://www.youtube.com/watch?v=OMcxQ3IY-qc&list=PLauivoElc3ggagradg8MfOZreCMmXMmJ-,Luv,https://img.youtube.com/vi/OMcxQ3IY-qc/maxresdefault.jpg,0,Data Structure and Algorithm
Learn C++ Programming -Beginner to Advance- Deep Dive in C++,3399,Udemy,https://www.udemy.com/course/cpp-deep-dive/,Abdul Bari,https://img-c.udemycdn.com/course/240x135/1672380_0d86_4.jpg,4.6,OOPS
Mastering DNS on Windows Server,3199,Udemy,https://www.udemy.com/course/mastering-dns-on-windows-server-2016/,Robert Hill Paul Hill,https://img-c.udemycdn.com/course/240x135/1096842_004d.jpg,4.4,Operating System
Statistics for Data Science and,3399,Udemy,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,365 Careers 365 Careers Team,https://img-c.udemycdn.com/course/240x135/1298780_731f_4.jpg,4.6,Development
Robotics: Computational Motion Planning,0,Coursera,https://www.coursera.org/learn/robotics-motion-planning,University of Pennsylvania,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c5/1233807cd911e5a6c6ade9ce238de7/CMP-Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.3,Robotics
100 Days of Code: The,3399,Udemy,https://www.udemy.com/course/100-days-of-code/,Dr. Angela Yu,https://img-c.udemycdn.com/course/240x135/2776760_f176_10.jpg,4.7,Development
C# Language Basics and OOPs,2299,Udemy,https://www.udemy.com/course/c-language-basics-and-oops-basic-to-advanced/,Sandeep Soni,https://img-c.udemycdn.com/course/240x135/1506356_6f18_6.jpg,4.7,OOPS
Advanced MySQL Topics,0,Coursera,https://www.coursera.org/learn/advanced-mysql-topics,Meta,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1d/fd5bb73e6846818976186c6258ec66/DBA3.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.6,DBMS
Complete Operating Systems in 1 Shot (With Notes),0,Youtube,https://www.youtube.com/watch?v=3obEP8eLsCw,CodeHelp - by Babbar,https://img.youtube.com/vi/3obEP8eLsCw/sddefault.jpg,0,Operating System
Complete Linux Bash Shell Scripting,3199,Udemy,https://www.udemy.com/course/linux-bash-shell-scripting-through-real-life-examples/,Imran Afzal,https://img-c.udemycdn.com/course/240x135/1585444_e4de_5.jpg,4.6,Operating System
The Complete Flutter Development Bootcamp,0,Udemy,https://www.udemy.com/course/flutter-bootcamp-with-dart/,Dr. Angela Yu,https://img-c.udemycdn.com/course/240x135/2259120_305f_6.jpg,4.6,Development
Java Programming for Complete Beginners,3399,Udemy,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,in28Minutes Official,https://img-b.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,4.5,OOPS
Theory Of Computation,0,NPTEL,https://nptel.ac.in/courses/106104028,Prof. Somenath Biswas,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Data Structures and Algorithms - Self Paced,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/dsa-self-paced,Sandeep Jain,https://media.geeksforgeeks.org/img-practice/banner/dsa-self-paced-thumbnail.png?v=19543,4.6,Data Structure and Algorithm
Web Applications for Everybody,0,Coursera,https://www.coursera.org/specializations/web-applications,University of Michigan,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/88/dc5c5094d411e7b4b66f7a7a1060c7/WA4E_mainimage_coloronly2.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.7,Development
Database Design,0,NPTEL,https://nptel.ac.in/courses/106106093,Dr. S. Srinath Prof. D. Janaki Ram,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Machine Learning: Natural Language Processing,2899,Udemy,https://www.udemy.com/course/natural-language-processing-in-python/,Lazy Programmer Inc. Lazy Programmer Team,https://img-c.udemycdn.com/course/240x135/4294434_daf2_5.jpg,4.6,Machine Learning
The Complete Node.js Developer Course,3399,Udemy,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,Andrew Mead Rob Percival,https://img-c.udemycdn.com/course/240x135/922484_52a1_8.jpg,4.6,Development
Object Oriented Programming Concepts,0,Coursera,https://www.coursera.org/learn/concepts-of-object-oriented-programming,LearnQuest,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/84/c332e2beaa4ffabd795312f33feaf0/IntroProg_800x800.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.5,OOPS
Industrial Robotics Fundamentals,799,Udemy,https://www.udemy.com/course/industrial-robotics-fundamentals/,ProjectEngPro Engineering and Project Management,https://img-c.udemycdn.com/course/240x135/5363982_156d_3.jpg,5,Robotics
SQL: A Practical Introduction for Querying Databases,0,Coursera,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases,IBM,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/34/3819b0a78a424a82ede83dc0cfad4f/Querying-Databases-with-SQL.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,DBMS
Linux Administration: The Complete Linux,3199,Udemy,https://www.udemy.com/course/master-linux-administration/,Andrei Dumitrescu Crystal Mind Academy,https://img-c.udemycdn.com/course/240x135/3371848_9ea9_10.jpg,4.6,Operating System
Python OOPS: Object Oriented Programming,2499,Udemy,https://www.udemy.com/course/python-programming-masterclass/,Shubham Sarda,https://img-c.udemycdn.com/course/240x135/2074920_20c7_5.jpg,4,OOPS
Computer Networks: A Beginner’s guide,1299,Udemy,https://www.udemy.com/course/computer-networks-a-beginners-guide-to-networking/,TELCOMA Global,https://img-c.udemycdn.com/course/240x135/2077668_18bf_3.jpg,3.6,Computer Network
NOC:Foundations Of Cyber Physical Systems,0,NPTEL,https://nptel.ac.in/courses/106105241,Prof. Soumyajit Dey,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Multi-Core Computer Architecture-Storage And Interconnects,0,NPTEL,https://nptel.ac.in/courses/106103183,Prof. John Jose,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Artificial Intelligence,0,NPTEL,https://nptel.ac.in/courses/106105078,Prof. S. Sarkar Prof. P. Mitra,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Embedded Systems Bootcamp: RTOS IoT,3199,Udemy,https://www.udemy.com/course/embedded-electronics-bootcamp-from-bit-to-deep-learning/,Mouhammad Hamsho,https://img-c.udemycdn.com/course/240x135/4116136_6fa8_2.jpg,4.1,IoT
NOC:Computational Complexity Theory,0,NPTEL,https://nptel.ac.in/courses/106104227,Prof. Raghunath Tewari,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Full Stack Bootcamp,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/full-stack-bootcamp,,https://media.geeksforgeeks.org/img-practice/banner/full-stack-bootcamp-thumbnail.png?v=19545,3.7,Development
Introduction to Microsoft Azure IoT,2799,Udemy,https://www.udemy.com/course/introduction-to-microsoft-azure-iot/,Venkatesh Varadachari Betanabotla Kaushik,https://img-c.udemycdn.com/course/240x135/2611176_98f5_3.jpg,4.5,IoT
Mastering Data Modeling Fundamentals Entity-Relationship,3099,Udemy,https://www.udemy.com/course/mastering-data-modeling-fundamentals/,Alan Simon,https://img-c.udemycdn.com/course/240x135/2767896_eb29_5.jpg,4.4,Operating System
The Complete Computer Networks Course:,799,Udemy,https://www.udemy.com/course/the-complete-computer-networks-course-from-zero-to-expert/,Lucas Bazilio,https://img-c.udemycdn.com/course/240x135/5223118_5056_3.jpg,4.9,Computer Network
Computer Graphics,0,NPTEL,https://nptel.ac.in/courses/106106090,Prof. Sukhendu Das,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Fundamentals of IoT An <strong>IoT</strong>,1499,Udemy,https://www.udemy.com/course/fundamentals-of-iot-systems/,Gaurav Awasthi,https://img-c.udemycdn.com/course/240x135/2920816_1535_2.jpg,4.7,IoT
NOC:Cryptography And Network Security,0,NPTEL,https://nptel.ac.in/courses/106105162,Prof. Sourav Mukhopadhyay,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Learn C++ Programming -Beginner to,3399,Udemy,https://www.udemy.com/course/cpp-deep-dive/,Abdul Bari,https://img-c.udemycdn.com/course/240x135/1672380_0d86_4.jpg,4.6,Data Structure and Algorithm
NOC:Introduction To Cryptology,0,NPTEL,https://nptel.ac.in/courses/106107155,Dr. Sugata Gangopadhyay,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Java Object Oriented Programming:OOPS OOAD,3199,Udemy,https://www.udemy.com/course/java-object-oriented-programming-analysis-design-oops-ooad/,Basics Strong,https://img-c.udemycdn.com/course/240x135/2446316_64a8_4.jpg,4.3,OOPS
Blockchain,0,Youtube,https://www.youtube.com/playlist?list=PLYwpaL_SFmcDFRupamGc-9zc-vQqvkQnn,5 Minutes Engineering,https://img.youtube.com/vi/mfSr-c9sAjI/sddefault.jpg,0,BlockChain Technology
Introduction to Databases for Back-End Development,0,Coursera,https://www.coursera.org/learn/intro-to-databases-back-end-development,Meta,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/dd/af1c1808c54afcb89855c9356e8d48/back-end-dev4.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,DBMS
LeetCode In Python: 50 Algorithms,3199,Udemy,https://www.udemy.com/course/leetcode-in-python-50-algorithms-coding-interview-questions/,Bit Punch,https://img-c.udemycdn.com/course/240x135/2692016_4028_4.jpg,4.5,Data Structure and Algorithm
Data Structures & Algorithms in Python - Self Paced,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/Data-Structures-With-Python,Sandeep Jain,https://media.geeksforgeeks.org/img-practice/banner/Data-Structures-With-Python-thumbnail.png?v=19543,4.7,Data Structure and Algorithm
Principles Of Communication,0,NPTEL,https://nptel.ac.in/courses/106106097,Prof. Hema A Murthy,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Robotics,0,Coursera,https://www.coursera.org/specializations/robotics,University of Pennsylvania,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/5d/9e7ff083fa11e6923cad35a230c7ea/RoboticsSpecialization.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.4,Robotics
Internet of Things with Python,1999,Udemy,https://www.udemy.com/course/iot-with-python/,Sai Acuity Institute of Learning Pvt Ltd,https://img-c.udemycdn.com/course/240x135/3082522_9e48_3.jpg,3.7,IoT
NOC:Randomized Methods In Complexity,0,NPTEL,https://nptel.ac.in/courses/106104228,Prof. Nitin Saxena,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Hands-On Robotics with Arduino Build,2799,Udemy,https://www.udemy.com/course/robotics-for-beginners-build-time-control-robot-from-scratch/,Dinesh Tavasalkar,https://img-c.udemycdn.com/course/240x135/790596_761a_2.jpg,4.7,Robotics
Blockchain and Business,0,Coursera,https://www.coursera.org/learn/blockchain-business,INSEAD,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/42/0321c3018f44ab9cb99455083cd7b4/course3_thumbnail_cube_2022.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Blockchain Technology  
Python for Computer Networks and,799,Udemy,https://www.udemy.com/course/python-for-computer-networks-and-cybersecurity/,Kamshat Asmaganbetova Aigerim Kalikova,https://img-c.udemycdn.com/course/240x135/5374128_7f82_2.jpg,0,Computer Network
Time and space complexity analysis,0,Udemy,https://www.udemy.com/course/complexity-analysis/,Inside Code,https://img-c.udemycdn.com/course/240x135/3777152_06da_3.jpg,4.7,Data Structure and Algorithm
Cybersecurity for Everyone,0,Coursera,https://www.coursera.org/learn/cybersecurity-for-everyone,University of Maryland College Park,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/c8eb7fee7f409dbd31ececb1d1a82e/MOOCs_Cybersecurity.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Cyber Security
Operating Systems,0,Youtube,https://www.youtube.com/playlist?list=PLdo5W4Nhv31a5ucW_S1K3-x6ztBRD-PNa,Jenny's Lectures CS IT,https://img.youtube.com/vi/RozoeWzT7IM/sddefault.jpg,0,Operating System
The Coding Interview Bootcamp: Algorithms,0,Udemy,https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Stephen Grider,https://img-c.udemycdn.com/course/240x135/1409142_1879_8.jpg,4.8,Data Structure and Algorithm
NOC:Programming Data Structures And Algorithms,0,NPTEL,https://nptel.ac.in/courses/106106127,Prof. Hema A Murthy ,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Blockchain,0,Coursera,https://www.coursera.org/specializations/blockchain,University at Buffalo,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/20/53f890590611e8ad3a4787a17be710/New-blockchain-logo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,Blockchain Technology
Introduction to Relational Database and SQL,0,Coursera,https://www.coursera.org/projects/introduction-to-relational-database-and-sql,Coursera Project Network,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ba/4f26a24daf4207ac94d4d1ec41fb15/SQL1_square.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,DBMS
Google Cybersecurity,0,Coursera,https://www.coursera.org/professional-certificates/google-cybersecurity,Google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f7/afb1bb590e4fe682dfa3bd286e0c35/GoogleCarter-cybersecurity.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.8,Cyber Security
Fork Python Programming - Self Paced,0,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/fork-python,-,https://media.geeksforgeeks.org/img-practice/banner/fork-python-thumbnail.png?v=19550,4.4,Miscellaneous
NOC:Real Time Operating System,0,NPTEL,https://nptel.ac.in/courses/106105172,Prof. Rajib Mall,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Python for Beginners: Learn Python,0,Udemy,https://www.udemy.com/course/python-programming-projects/,Jason Cannon,https://img-c.udemycdn.com/course/240x135/666914_6c60_3.jpg,4.5,Development
Mastering Data Structures & Algorithms,3399,Udemy,https://www.udemy.com/course/datastructurescncpp/,Abdul Bari,https://img-c.udemycdn.com/course/240x135/2121018_9de5_5.jpg,4.6,Data Structure and Algorithm
Foundations of Data Science,0,Coursera,https://www.coursera.org/learn/foundations-of-data-science,Google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/8f/7afa60cbe911e8a233973e775a70ad/machine-learning-3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Machine Learning 
Machine Learning for Absolute Beginners,2799,Udemy,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-1/,Idan Gabrieli,https://img-c.udemycdn.com/course/240x135/2792118_c9e1_7.jpg,4.5,Machine Learning
Introduction to Data Analytics,0,Coursera,https://www.coursera.org/learn/introduction-to-data-analytics,IBM,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/77/330fd160df42a79e6286fdc7b6b60f/Course-1--Introduction-to-Data-Analysis_1200x600.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.8,DBMS
Mastering Android Development with Kotlin From Beginner to Pro,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/mastering-android-app-development,Abhay Maurya,https://media.geeksforgeeks.org/img-practice/banner/mastering-android-app-development-thumbnail.png?v=19545,0,Development
Windows Server 2016 Administration Windows,3199,Udemy,https://www.udemy.com/course/windows-server-2016-administration-and-deployment/,Kevin Brown,https://img-c.udemycdn.com/course/240x135/1522272_d707_3.jpg,4.6,Operating System
Blockchain Business Models,0,Coursera,https://www.coursera.org/learn/blockchain-business-models,Duke University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d0/1e631dc7894ebaac2b1b0dde38dd94/Innovation-Cryptocurrency-.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=265&h=216,4.7,Blockchain Technology
Complete Interview Preparation - Self Paced,6999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/complete-interview-preparation,Sandeep Jain,https://media.geeksforgeeks.org/img-practice/banner/complete-interview-preparation-thumbnail.png?v=19543,4.9,Data Structure and Algorithm
NOC:Introduction To Modern Application Development,0,NPTEL,https://nptel.ac.in/courses/106106156,Prof. Gaurav Raina Tanmai Gopal,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Parallel Algorithms,0,NPTEL,https://nptel.ac.in/courses/106103188,Prof. Sajith Gopalan,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Advanced Relational Database and SQL,0,Coursera,https://www.coursera.org/projects/advanced-rdb-sql,Coursera Project Network,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d9/dd2214a5504134a86a2aa21c1e0dc7/SQL2_square.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.5,DBMS
Data Communications,0,NPTEL,https://nptel.ac.in/courses/106108098,Prof. H.S. Jamadagni,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Introduction to Machine Learning,0,Coursera,https://www.coursera.org/learn/machine-learning-duke,Duke University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/8f/7afa60cbe911e8a233973e775a70ad/machine-learning-3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Machine Learning 
LeetCode in Java: Algorithms Coding,0,Udemy,https://www.udemy.com/course/leetcode-coding-interview-question-solution-explanation/,Md. A. Barik,https://img-b.udemycdn.com/course/240x135/3360526_8e7b_6.jpg,4.5,Data Structure and Algorithm
Java Programming for Complete Beginners,0,Udemy,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,in28Minutes Official,https://img-c.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,4.5,Development
Data Structures and Algorithms: In,2699,Udemy,https://www.udemy.com/course/data-structures-and-algorithms-in-depth-using-c-sharp/,Syed Mohiuddin,https://img-c.udemycdn.com/course/240x135/3551426_b609_7.jpg,4.7,Data Structure and Algorithm
Web development Course,0,Youtube,https://www.youtube.com/playlist?list=PLfqMhTWNBTe3H6c9OGXb5_6wcc1Mca52n,Apna College,https://img.youtube.com/vi/l1EssrLxt7E/maxresdefault.jpg,0,Development
Complete Core Java In Simple,0,Udemy,https://www.udemy.com/course/complete-core-java-in-simple-way/,DURGASOFT NAGOOR BABU,https://img-c.udemycdn.com/course/240x135/2270218_b0db_5.jpg,4.5,OOPS
Selenium Java : Novice to,3199,Udemy,https://www.udemy.com/course/selenium-webdriver-web-based-automation-testing/,Cloud99 Tech,https://img-c.udemycdn.com/course/240x135/1428208_1e22_14.jpg,4.7,OOPS
NOC:Computational Complexity,0,NPTEL,https://nptel.ac.in/courses/106106229,Prof. Subrahmanyam Kalyanasundaram,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Blockchain and Cryptocurrency Explained,0,Coursera,https://www.coursera.org/learn/crypto-finance,University of Michigan,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/15/cb9289106b4c88870e25275f9b0203/fintech_futurelearn_crypto.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Blockchain Technology
Windows Server 2019 Administration Learn,3199,Udemy,https://www.udemy.com/course/windows-server-2019-administration-h/,Kevin Brown,https://img-c.udemycdn.com/course/240x135/3448142_bdbc_4.jpg,4.6,Operating System
Learn Selenium with Java Cucumber,3199,Udemy,https://www.udemy.com/course/learn-selenium-with-java-live-project/,Pavan Kumar,https://img-c.udemycdn.com/course/240x135/2134190_d86d_4.jpg,4.6,OOPS
NOC:Online Privacy,0,NPTEL,https://nptel.ac.in/courses/106106235,Prof. Ponnurangam Kumaraguru,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Artificial Intelligence: Knowledge Representation and Reasoning,0,NPTEL,https://nptel.ac.in/courses/106106140,Prof. Deepak Khemani,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
IBM Full Stack Software Developer,0,Coursera,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,IBM,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/18/2aa16c328a457cb910aa933bf2cd87/Professional-Certificate-Cloud-App.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,Blockchain Technology
Database Structures and Management with MySQL,0,Coursera,https://www.coursera.org/learn/database-structures-and-management-with-mysql,Meta,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/5b/29787d7f8d490387dc88f0902509ca/DBA2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.8,DBMS
Google GCP Pro Machine Learning,799,Udemy,https://www.udemy.com/course/google-cloud-professional-machine-learning-engineer-practice-exams/,Simon Jakowicz,https://img-c.udemycdn.com/course/240x135/5350056_98d2_2.jpg,5,Machine Learning
