cn,pr,pf,link,inst,plink,rating,tags
NOC:Computer Organization And Architecture A Pedagogical Aspect,0,NPTEL,https://nptel.ac.in/courses/106103180,Dr. Santosh Biswas Prof.Jatindra Kumar Deka Prof.Arnab Sarkar,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Big Data Computing,0,NPTEL,https://nptel.ac.in/courses/106104189,Dr. Rajiv Misra,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
IoT Data Analytics Practical introduction,2699,Udemy,https://www.udemy.com/course/iot-data-analytics/,Bapuji Kanaparthi,https://img-b.udemycdn.com/course/240x135/4125132_7fc3_2.jpg,4,IoT
Windows Server 2019 Training for,2299,Udemy,https://www.udemy.com/course/windows-server-2019-training/,Paul Hill,https://img-c.udemycdn.com/course/240x135/1946952_f425.jpg,4.6,Operating System
NOC:Computer Vision,0,NPTEL,https://nptel.ac.in/courses/106105216,Prof. Jayanta Mukhopadhyay,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
The Python Bible™ | Everything,0,Udemy,https://www.udemy.com/course/the-python-bible/,Ziyad Yehia Internet of Things Academy,https://img-c.udemycdn.com/course/240x135/903378_f32d_7.jpg,4.6,OOPS
Full Stack Development with React & Node JS - Live,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/full-stack-node,Utkarsh Malik,https://media.geeksforgeeks.org/img-practice/banner/full-stack-node-thumbnail.png?v=19545,4.7,Development
NOC:Getting Started with Competitive Programming,0,NPTEL,https://nptel.ac.in/courses/106106231,Prof. Neeldhara Misra Arjun,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Test Yourself in DSA OOPS,799,Udemy,https://www.udemy.com/course/test-yourself-in-dsa-oops-dbms-os-and-cn-with-120-mcqs/,Shubham Kumar,https://img-c.udemycdn.com/course/240x135/5423572_5622_2.jpg,4.8,OOPS
The Nuts and Bolts of Machine Learning,0,Coursera,https://www.coursera.org/learn/the-nuts-and-bolts-of-machine-learning,Google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png?auto=format%2Ccompress&dpr=1&w=25&h=25&q=40,4.8,Machine Learning 
The Python Bible™ | Everything,0,Udemy,https://www.udemy.com/course/the-python-bible/,Ziyad Yehia Internet of Things Academy,https://img-c.udemycdn.com/course/240x135/903378_f32d_7.jpg,4.6,Development
Introduction to Blockchain for Financial Services,0,Coursera,https://www.coursera.org/learn/intro-blockchain-financial-services,INSEAD,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d2/9c1ab69b7247bfa649411506111928/course1_thumbnail_fs_2022.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=265&h=216,4.7,Blockchain Technology
System Analysis And Design,0,NPTEL,https://nptel.ac.in/courses/106108102,Prof. V. Rajaraman,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Java Interview Questions Boot Camp,2799,Udemy,https://www.udemy.com/course/java-interview-questions-bootcamp-master-class-1000-java-questions/,Basics Strong,https://img-c.udemycdn.com/course/240x135/2456220_6f52_5.jpg,4.6,OOPS
